datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;E;F;D1;F1;D2;F2;D3;F3;D4;F4;D5;F5;D6;F6;D7;F7;D8;F8;D9;F9;D10;F10;D11;F11;D12;F12;D13;F13;D14;F14;D15;F15;D16;F16;D17;F17;D18;F18;D19;F19;D20;F20;D21;F21;D22;F22;D23;F23;D24;F24
26.09.2021;Wahl zum Deutschen Bundestag;06411000;10;00010 - Stadtverwaltung;1;1;413;378;0;791;269;1;1;268;1;268;31;22;62;47;8;10;34;47;83;83;26;26;0;3;16;11;2;3;0;2;0;0;0;0;0;0;0;0;0;0;5;4;0;0;0;0;0;0;0;1;0;0;0;1;0;8;1;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;20;00020 - Justus-Liebig-Haus;1;1;402;389;0;791;270;6;2;268;2;268;24;18;53;48;13;11;38;46;93;85;30;37;0;2;8;6;3;1;0;3;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;4;0;6;5;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;30;00030 - Justus-Liebig-Haus;1;1;347;349;0;696;240;0;3;237;3;237;26;21;38;40;15;17;28;32;95;76;20;22;0;0;9;8;0;2;0;1;0;0;0;1;0;0;1;1;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;1;0;11;1;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;40;00040 - Literaturhaus;1;1;410;388;0;798;269;3;2;267;2;267;38;32;64;69;11;12;40;45;72;60;23;28;0;3;8;3;4;3;0;2;0;1;0;0;0;0;0;0;0;0;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;50;00050 - Justus-Liebig-Haus;1;1;625;480;0;1105;315;0;1;314;3;312;37;33;64;62;16;16;26;36;100;89;49;36;0;2;9;7;6;6;0;1;0;3;0;0;0;1;0;0;0;1;3;4;0;0;0;0;0;0;0;1;0;0;0;5;0;9;4;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;60;00060 - Interimsgebäude Erasmus-Kittler-Schule;1;1;727;397;0;1124;374;10;5;369;5;369;48;39;84;69;20;22;32;46;118;97;32;43;0;5;18;11;9;4;0;4;0;0;0;0;0;1;0;0;0;1;3;2;0;0;0;1;0;0;0;2;0;1;0;6;0;15;5;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;90;00090 - Goetheschule;1;1;772;576;0;1348;476;9;9;467;6;470;51;47;104;91;15;20;36;46;195;157;44;61;0;5;10;8;5;1;0;2;0;0;0;4;0;0;2;0;0;0;3;1;0;0;0;0;0;0;0;2;0;0;0;17;0;8;2;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;100;00100 - Goetheschule;1;1;611;529;0;1140;509;9;5;504;6;503;69;52;92;104;11;13;32;48;227;196;40;54;0;6;23;4;4;2;0;6;0;0;0;1;0;0;0;1;0;1;4;4;0;1;0;0;0;0;0;1;0;0;0;4;0;5;2;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;120;00120 - Stadthaus Frankf. Str.;1;1;538;285;0;823;233;5;3;230;4;229;35;24;57;51;29;31;19;26;46;45;29;32;0;2;10;5;3;2;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;5;0;2;0;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;130;00130 - Ehemalige Kyritzschule;1;1;614;651;0;1265;509;4;1;508;0;509;41;34;114;99;6;7;33;40;227;212;52;66;0;7;22;10;1;2;0;2;0;0;0;0;0;2;1;0;0;0;8;9;0;0;0;0;0;0;0;1;0;0;0;2;0;16;3;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;140;00140 - Ehemalige Kyritzschule;1;1;518;369;0;887;361;17;3;358;2;359;34;26;74;68;6;7;20;25;156;148;42;53;0;5;12;6;2;1;0;2;0;0;0;0;0;0;1;0;0;0;10;9;0;0;0;0;0;0;0;0;0;1;0;0;0;8;1;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;150;00150 - Ehemalige Kyritzschule;1;1;550;525;0;1075;408;10;5;403;6;402;34;23;92;87;8;13;16;27;170;153;48;55;0;3;18;12;2;0;0;5;0;1;0;0;0;1;3;2;0;0;11;10;0;0;0;0;0;0;0;1;0;1;0;1;0;7;1;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;180;00180 - Schillerschule;1;1;704;636;0;1340;474;10;4;470;2;472;43;30;96;88;23;22;39;50;183;149;47;79;0;4;22;11;2;3;0;0;0;1;0;1;0;1;1;0;0;2;10;6;0;0;0;0;0;0;0;3;0;0;0;6;0;16;4;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;190;00190 - Schillerschule;1;1;512;459;0;971;385;8;3;382;3;382;38;27;72;67;16;23;24;32;161;150;49;56;0;4;11;2;4;4;0;1;0;0;0;2;0;0;0;0;0;0;7;6;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;200;00200 - Schillerschule;1;1;519;323;0;842;347;2;0;347;1;346;23;18;81;85;23;22;12;19;140;111;42;61;0;5;15;7;3;1;0;2;0;1;0;1;0;0;2;1;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;8;4;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;210;00210 - Schillerschule;1;1;660;482;0;1142;437;8;6;431;2;435;33;28;90;86;39;39;31;41;139;131;65;58;0;3;15;8;9;2;0;6;0;0;0;2;0;0;1;2;0;0;8;5;0;0;0;0;0;0;0;1;0;0;0;14;0;9;1;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;220;00220 - Interimsgebäude Bertolt-Brecht-Schule;1;1;628;572;0;1200;467;15;3;464;1;466;21;17;103;99;12;13;27;29;190;175;68;81;0;3;14;8;7;2;0;1;0;1;0;2;0;0;7;7;0;0;12;9;0;0;0;0;0;0;0;0;0;0;0;8;0;11;3;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;230;00230 - Interimsgebäude Bertolt-Brecht-Schule;1;1;844;609;0;1453;492;5;6;486;6;486;54;34;110;100;34;33;30;48;131;113;68;88;0;4;31;20;6;2;0;0;0;0;0;0;0;0;4;1;0;0;15;13;0;1;0;0;0;0;0;2;0;1;0;14;0;12;3;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;240;00240 - Kiga Ev.Thomasgemeinde;1;1;733;530;0;1263;477;7;7;470;3;474;59;58;135;124;24;30;32;39;139;125;45;55;0;6;6;8;14;4;0;1;0;0;0;0;0;0;1;2;0;1;9;5;0;2;0;0;0;0;0;3;0;0;0;4;0;7;6;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;250;00250 - Chr.-Morgenstern-Schule;1;1;578;524;0;1102;443;10;4;439;2;441;33;16;105;106;19;24;25;35;176;157;55;62;0;6;15;4;2;3;0;3;0;0;0;0;0;0;2;1;0;0;5;8;0;2;0;2;0;0;0;2;0;0;0;4;0;6;2;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;260;00260 - Kiga Ev.Thomasgemeinde;1;1;407;387;0;794;344;6;4;340;2;342;108;97;49;51;17;19;33;41;92;97;21;15;0;1;5;0;4;2;0;0;0;0;0;0;0;1;1;1;0;1;8;9;0;0;0;0;0;0;0;0;0;1;0;1;0;5;2;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;270;00270 - Kiga Ev.Thomasgemeinde;1;1;623;679;0;1302;492;3;7;485;4;488;153;137;109;108;15;18;54;73;107;93;23;29;0;2;10;1;3;0;0;5;0;0;0;1;0;0;2;0;0;0;9;12;0;1;0;0;0;0;0;1;0;0;0;0;0;7;0;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;280;00280 - Abendgymnasium;1;1;489;967;0;1456;383;3;3;380;1;382;66;76;68;62;16;18;52;53;146;115;9;21;0;5;5;4;2;2;0;1;0;0;0;2;0;0;0;0;0;1;15;16;0;0;0;0;0;0;0;0;0;0;0;1;0;5;1;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;290;00290 - Abendgymnasium;1;1;464;556;0;1020;294;3;0;294;1;293;51;40;69;66;11;13;26;38;102;87;19;26;0;2;6;5;2;2;0;0;0;0;0;0;0;0;1;0;0;1;7;8;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;310;00310 - Abendgymnasium;1;1;739;548;0;1287;451;6;4;447;4;447;52;45;117;116;22;23;45;43;146;131;35;43;0;5;16;7;6;6;0;4;0;0;0;4;0;0;0;0;0;0;7;4;0;1;0;0;0;0;0;0;0;0;0;8;0;7;1;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;320;00320 - Abendgymnasium;1;1;637;645;0;1282;470;12;2;468;4;466;56;44;114;114;22;25;42;44;154;146;45;50;0;5;13;5;8;4;0;0;0;0;0;1;0;1;0;0;0;1;9;7;0;2;0;0;0;0;0;2;0;0;0;5;0;10;5;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;330;00330 - Abendgymnasium;1;1;670;627;0;1297;469;10;2;467;4;465;50;37;112;98;21;28;31;39;158;146;61;64;0;7;14;9;7;2;0;3;0;0;0;3;0;1;1;0;0;0;7;9;0;1;0;0;0;1;0;3;0;0;0;4;0;10;5;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;340;00340 - Elly-Heuss-Knapp-Schule;1;1;531;664;0;1195;414;10;2;412;0;414;89;62;74;75;27;31;37;53;129;114;28;32;0;2;8;4;7;4;0;3;0;0;0;2;0;0;0;0;0;0;9;8;0;0;0;0;0;0;0;5;0;0;0;6;0;13;4;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;350;00350 - Elly-Heuss-Knapp-Schule;1;1;715;504;0;1219;494;3;4;490;8;486;71;49;132;122;16;23;51;62;149;139;47;49;0;3;13;9;4;0;0;1;0;1;0;0;0;0;1;0;0;0;6;6;0;0;0;0;0;0;0;1;0;1;0;11;0;9;0;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;370;00370 - Käthe-Kollwitz-Schule;1;1;819;532;0;1351;497;5;15;482;11;486;84;68;174;157;43;53;37;40;82;75;31;37;0;9;10;4;6;3;0;3;0;1;0;0;0;0;1;1;0;0;14;9;0;1;0;0;0;1;0;2;0;0;0;14;0;8;0;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;380;00380 - Käthe-Kollwitz-Schule;1;1;433;516;0;949;309;7;2;307;1;308;36;29;64;53;23;23;41;57;106;87;12;17;0;3;8;6;9;3;0;4;0;0;0;1;0;0;1;1;0;0;6;4;0;0;0;0;0;0;0;3;0;0;0;9;0;8;1;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;390;00390 - Käthe-Kollwitz-Schule;1;1;916;374;0;1290;471;4;14;457;12;459;85;71;148;115;33;39;41;61;80;77;39;34;0;3;12;10;6;3;0;0;0;0;0;3;0;0;0;0;0;0;12;10;0;0;0;0;0;0;0;0;0;0;0;25;0;8;1;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;411;00411 - Erich Kästner-Schule;1;1;494;465;0;959;327;5;1;326;2;325;22;22;67;61;13;15;19;17;152;143;36;42;0;1;2;1;1;3;0;3;0;0;0;0;0;0;2;1;0;0;9;2;0;0;0;0;0;0;0;2;0;0;0;2;0;10;3;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;412;00412 - Erich Kästner-Schule;1;1;466;277;0;743;262;4;1;261;4;258;51;46;82;76;22;16;21;23;56;52;21;23;0;1;4;5;2;0;0;1;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;1;0;0;0;0;0;9;0;1;0;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;413;00413 - Familienzentrum;1;1;463;438;0;901;249;2;3;246;4;245;40;33;64;59;16;21;25;25;62;53;24;26;0;2;5;4;8;4;0;5;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;4;0;0;0;3;0;4;0;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;421;00421 - Erich Kästner-Schule;1;1;797;356;0;1153;378;2;5;373;5;373;73;68;115;99;64;67;34;29;37;36;35;39;0;2;6;2;3;2;0;1;0;0;0;0;0;0;1;2;0;0;4;3;0;0;0;0;0;1;0;1;0;1;0;13;0;7;1;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;422;00422 - Erich Kästner-Schule;1;1;563;355;0;918;290;0;3;287;5;285;65;50;76;69;18;19;18;31;63;53;34;25;0;1;3;1;1;1;0;0;0;0;0;0;0;0;2;2;0;0;7;5;0;1;0;0;0;0;0;0;0;0;0;23;0;4;0;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;431;00431 - Kinderhort, Jägertorstr.;1;1;734;318;0;1052;414;5;6;408;11;403;65;70;120;84;46;44;39;30;76;68;34;38;0;10;10;3;9;6;0;3;0;0;0;0;0;0;3;1;0;1;6;2;0;0;0;0;0;0;0;1;0;0;0;36;0;6;0;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;432;00432 - Erich Kästner-Schule;1;1;591;376;0;967;400;0;6;394;9;391;82;78;103;106;45;43;34;36;82;65;26;33;0;1;6;5;4;3;0;1;0;0;0;0;0;0;1;0;0;2;9;7;0;0;0;0;0;0;0;0;0;0;0;9;0;2;2;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;440;00440 - Kinderhort, Jägertorstr.;1;1;407;308;0;715;264;2;3;261;2;262;56;46;60;55;27;34;21;28;53;58;19;14;0;1;11;5;8;2;0;2;0;0;0;0;0;2;0;0;0;1;5;2;0;0;0;0;0;0;0;0;0;0;0;8;0;4;1;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;450;00450 - Stadtteilschule Arheilg.;1;1;797;504;0;1301;470;8;8;462;9;461;88;72;138;130;41;41;42;48;86;84;31;37;0;5;4;1;9;7;0;2;0;0;0;1;0;1;2;0;0;0;20;14;0;0;0;0;0;0;0;1;0;0;0;13;0;4;1;0
26.09.2021;Wahl zum Deutschen Bundestag;06411000;460;00460 - Stadtteilschule Arheilg.;1;1;706;501;0;1207;481;2;10;471;6;475;114;92;143;128;25;32;56;66;83;81;20;31;0;6;10;5;8;7;0;2;0;1;0;0;0;0;0;0;0;0;7;5;0;4;0;0;0;3;0;0;0;1;0;5;0;6;5;0
