wahl,gebiet-nr,gebiet-name,Insgesamt,CDU,Grüne,SPD,AfD,FDP,Linke,Anteil_SPD,Anteil_CDU,Anteil_Grüne,Anteil_FDP,Anteil_AfD,Anteil_Linke,CDU_Anteil,CDU_Prozent,Grüne_Anteil,Grüne_Prozent,SPD_Anteil,SPD_Prozent,AfD_Anteil,AfD_Prozent,FDP_Anteil,FDP_Prozent,Linke_Anteil,Linke_Prozent,Wahl_Abkürzung,Stadtteil
Wahl zum Deutschen Bundestag,10,00010 - Stadtverwaltung,269,22,83,47,10,47,26,,,,,,,0.08178438661710037,8.178438661710038,0.30855018587360594,30.855018587360593,0.17472118959107807,17.472118959107807,0.03717472118959108,3.717472118959108,0.17472118959107807,17.472118959107807,0.09665427509293681,9.66542750929368,BTW21,DA-Mitte
Wahl zum Deutschen Bundestag,20,00020 - Justus-Liebig-Haus,270,18,85,48,11,46,37,,,,,,,0.06666666666666667,6.666666666666667,0.3148148148148148,31.48148148148148,0.17777777777777778,17.77777777777778,0.040740740740740744,4.074074074074074,0.17037037037037037,17.037037037037038,0.13703703703703704,13.703703703703704,BTW21,DA-Mitte
Wahl zum Deutschen Bundestag,30,00030 - Justus-Liebig-Haus,240,21,76,40,17,32,22,,,,,,,0.0875,8.75,0.31666666666666665,31.666666666666664,0.16666666666666666,16.666666666666664,0.07083333333333333,7.083333333333333,0.13333333333333333,13.333333333333334,0.09166666666666666,9.166666666666666,BTW21,DA-Mitte
Wahl zum Deutschen Bundestag,40,00040 - Literaturhaus,269,32,60,69,12,45,28,,,,,,,0.11895910780669144,11.895910780669144,0.22304832713754646,22.304832713754646,0.25650557620817843,25.650557620817843,0.04460966542750929,4.4609665427509295,0.16728624535315986,16.728624535315987,0.10408921933085502,10.408921933085502,BTW21,DA-Mitte
Wahl zum Deutschen Bundestag,50,00050 - Justus-Liebig-Haus,315,33,89,62,16,36,36,,,,,,,0.10476190476190476,10.476190476190476,0.28253968253968254,28.253968253968253,0.19682539682539682,19.682539682539684,0.050793650793650794,5.079365079365079,0.11428571428571428,11.428571428571429,0.11428571428571428,11.428571428571429,BTW21,DA-Mitte
Wahl zum Deutschen Bundestag,60,00060 - Interimsgebäude Erasmus-Kittler-Schule,374,39,97,69,22,46,43,,,,,,,0.10427807486631016,10.427807486631016,0.25935828877005346,25.935828877005346,0.18449197860962566,18.449197860962567,0.058823529411764705,5.88235294117647,0.12299465240641712,12.299465240641712,0.11497326203208556,11.497326203208557,BTW21,DA-Nord
Wahl zum Deutschen Bundestag,90,00090 - Goetheschule,476,47,157,91,20,46,61,,,,,,,0.09873949579831932,9.873949579831933,0.32983193277310924,32.983193277310924,0.19117647058823528,19.11764705882353,0.04201680672268908,4.201680672268908,0.09663865546218488,9.663865546218489,0.12815126050420167,12.815126050420167,BTW21,DA-Nord
Wahl zum Deutschen Bundestag,100,00100 - Goetheschule,509,52,196,104,13,48,54,,,,,,,0.10216110019646366,10.216110019646365,0.3850687622789784,38.50687622789784,0.2043222003929273,20.43222003929273,0.025540275049115914,2.5540275049115913,0.09430255402750491,9.430255402750491,0.10609037328094302,10.609037328094303,BTW21,DA-Nord
Wahl zum Deutschen Bundestag,120,00120 - Stadthaus Frankf. Str.,233,24,45,51,31,26,32,,,,,,,0.10300429184549356,10.300429184549357,0.19313304721030042,19.313304721030043,0.21888412017167383,21.888412017167383,0.13304721030042918,13.304721030042918,0.11158798283261803,11.158798283261802,0.13733905579399142,13.733905579399142,BTW21,DA-Nord
Wahl zum Deutschen Bundestag,130,00130 - Ehemalige Kyritzschule,509,34,212,99,7,40,66,,,,,,,0.06679764243614932,6.679764243614931,0.4165029469548134,41.650294695481335,0.1944990176817289,19.44990176817289,0.0137524557956778,1.37524557956778,0.07858546168958742,7.858546168958743,0.12966601178781925,12.966601178781925,BTW21,DA-Nord
Wahl zum Deutschen Bundestag,140,00140 - Ehemalige Kyritzschule,361,26,148,68,7,25,53,,,,,,,0.07202216066481995,7.202216066481995,0.4099722991689751,40.99722991689751,0.1883656509695291,18.83656509695291,0.019390581717451522,1.9390581717451523,0.06925207756232687,6.9252077562326875,0.14681440443213298,14.681440443213297,BTW21,DA-Nord
Wahl zum Deutschen Bundestag,150,00150 - Ehemalige Kyritzschule,408,23,153,87,13,27,55,,,,,,,0.056372549019607844,5.637254901960785,0.375,37.5,0.21323529411764705,21.323529411764707,0.031862745098039214,3.1862745098039214,0.0661764705882353,6.61764705882353,0.13480392156862744,13.480392156862745,BTW21,DA-Nord
Wahl zum Deutschen Bundestag,180,00180 - Schillerschule,474,30,149,88,22,50,79,,,,,,,0.06329113924050633,6.329113924050633,0.3143459915611814,31.434599156118143,0.18565400843881857,18.565400843881857,0.046413502109704644,4.641350210970464,0.10548523206751055,10.548523206751055,0.16666666666666666,16.666666666666664,BTW21,DA-Nord
Wahl zum Deutschen Bundestag,190,00190 - Schillerschule,385,27,150,67,23,32,56,,,,,,,0.07012987012987013,7.012987012987012,0.38961038961038963,38.961038961038966,0.17402597402597403,17.402597402597404,0.05974025974025974,5.974025974025974,0.08311688311688312,8.311688311688311,0.14545454545454545,14.545454545454545,BTW21,DA-Nord
Wahl zum Deutschen Bundestag,200,00200 - Schillerschule,347,18,111,85,22,19,61,,,,,,,0.05187319884726225,5.187319884726225,0.31988472622478387,31.988472622478387,0.24495677233429394,24.495677233429394,0.06340057636887608,6.340057636887608,0.05475504322766571,5.475504322766571,0.17579250720461095,17.579250720461097,BTW21,DA-Nord
