Wahl_Abkürzung,gebiet-nr,Stadtteil,Partei,Prozent,Stimmen
BTW21,10,DA-Mitte,Grüne,30.855018587360593,83
BTW21,20,DA-Mitte,Grüne,31.48148148148148,85
BTW21,30,DA-Mitte,Grüne,31.666666666666664,76
BTW21,40,DA-Mitte,Grüne,22.304832713754646,60
BTW21,50,DA-Mitte,Grüne,28.253968253968253,89
BTW21,60,DA-Nord,Grüne,25.935828877005346,97
BTW21,90,DA-Nord,Grüne,32.983193277310924,157
BTW21,100,DA-Nord,Grüne,38.50687622789784,196
BTW21,120,DA-Nord,Grüne,19.313304721030043,45
BTW21,130,DA-Nord,Grüne,41.650294695481335,212
BTW21,140,DA-Nord,Grüne,40.99722991689751,148
BTW21,150,DA-Nord,Grüne,37.5,153
BTW21,180,DA-Nord,Grüne,31.434599156118143,149
BTW21,190,DA-Nord,Grüne,38.961038961038966,150
BTW21,200,DA-Nord,Grüne,31.988472622478387,111
BTW21,210,DA-Nord,Grüne,29.97711670480549,131
BTW21,220,DA-Nord,Grüne,37.47323340471092,175
BTW21,230,DA-Nord,Grüne,22.96747967479675,113
BTW21,240,DA-Nord,Grüne,26.20545073375262,125
BTW21,250,DA-Nord,Grüne,35.44018058690745,157
BTW21,260,DA-Ost,Grüne,28.197674418604652,97
BTW21,270,DA-Ost,Grüne,18.902439024390244,93
BTW21,280,DA-Ost,Grüne,30.026109660574413,115
BTW21,290,DA-Ost,Grüne,29.591836734693878,87
BTW21,310,DA-Ost,Grüne,29.046563192904657,131
BTW21,320,DA-Ost,Grüne,31.06382978723404,146
BTW21,330,DA-Ost,Grüne,31.13006396588486,146
BTW21,340,DA-Ost,Grüne,27.536231884057973,114
BTW21,350,DA-Ost,Grüne,28.13765182186235,139
BTW21,370,DA-Nord,Grüne,15.090543259557343,75
BTW21,380,DA-Nord,Grüne,28.155339805825243,87
BTW21,390,DA-Nord,Grüne,16.348195329087048,77
BTW21,411,Kranichstein,Grüne,43.730886850152906,143
BTW21,412,Kranichstein,Grüne,19.84732824427481,52
BTW21,413,Kranichstein,Grüne,21.285140562248998,53
BTW21,421,Kranichstein,Grüne,9.523809523809524,36
BTW21,422,Kranichstein,Grüne,18.275862068965516,53
BTW21,431,Arheilgen,Grüne,16.425120772946862,68
BTW21,432,Kranichstein,Grüne,16.25,65
BTW21,440,Arheilgen,Grüne,21.96969696969697,58
BTW21,450,Arheilgen,Grüne,17.872340425531917,84
BTW21,460,Arheilgen,Grüne,16.839916839916842,81
BTW21,481,Arheilgen,Grüne,23.130841121495326,99
BTW21,482,Arheilgen,Grüne,15.450643776824036,72
BTW21,483,Arheilgen,Grüne,19.3717277486911,74
BTW21,490,Arheilgen,Grüne,27.113702623906704,93
BTW21,500,Arheilgen,Grüne,26.12359550561798,93
BTW21,510,Arheilgen,Grüne,23.974763406940063,76
BTW21,521,Arheilgen,Grüne,17.53846153846154,57
BTW21,522,Arheilgen,Grüne,20.51282051282051,72
BTW21,530,Arheilgen,Grüne,16.14457831325301,67
BTW21,540,DA-Mitte,Grüne,30.37542662116041,89
BTW21,550,DA-Mitte,Grüne,29.471544715447155,145
BTW21,560,DA-Mitte,Grüne,25.11111111111111,113
BTW21,570,DA-Mitte,Grüne,28.438228438228435,122
BTW21,580,DA-Mitte,Grüne,34.35897435897436,134
BTW21,600,Bessungen,Grüne,32.857142857142854,184
BTW21,610,Bessungen,Grüne,25.189393939393938,133
BTW21,620,Bessungen,Grüne,27.09251101321586,123
BTW21,630,Bessungen,Grüne,39.892183288409704,148
BTW21,640,Bessungen,Grüne,32.93838862559242,139
BTW21,650,Bessungen,Grüne,29.496402877697843,82
BTW21,660,Bessungen,Grüne,27.705627705627705,128
BTW21,680,Bessungen,Grüne,27.755102040816325,136
BTW21,690,Bessungen,Grüne,27.64976958525346,120
BTW21,710,DA-Mitte,Grüne,21.72897196261682,93
BTW21,720,DA-West,Grüne,26.730310262529834,112
BTW21,730,DA-West,Grüne,31.63265306122449,155
BTW21,750,DA-West,Grüne,19.81132075471698,63
BTW21,760,DA-West,Grüne,18.58823529411765,79
BTW21,780,DA-West,Grüne,22.54335260115607,117
BTW21,790,DA-West,Grüne,25.85812356979405,113
BTW21,800,DA-West,Grüne,25.513196480938415,87
BTW21,810,DA-West,Grüne,27.6536312849162,99
BTW21,820,DA-West,Grüne,14.250614250614252,58
BTW21,831,DA-West,Grüne,13.468013468013467,40
BTW21,832,DA-West,Grüne,17.42857142857143,61
BTW21,840,DA-West,Grüne,20.159680638722556,101
BTW21,850,DA-West,Grüne,13.118811881188119,53
BTW21,860,Wixhausen,Grüne,13.846153846153847,45
BTW21,870,Wixhausen,Grüne,14.068441064638785,37
BTW21,880,Wixhausen,Grüne,12.359550561797752,66
BTW21,890,Wixhausen,Grüne,14.43850267379679,54
BTW21,900,Eberstadt,Grüne,28.85662431941924,159
BTW21,910,Eberstadt,Grüne,23.809523809523807,70
BTW21,920,Eberstadt,Grüne,13.144329896907218,51
BTW21,930,Eberstadt,Grüne,20.245398773006134,66
BTW21,940,Eberstadt,Grüne,21.875,91
BTW21,950,Eberstadt,Grüne,26.302083333333332,101
BTW21,960,Eberstadt,Grüne,23.52941176470588,120
BTW21,970,Eberstadt,Grüne,24.2603550295858,82
BTW21,980,Eberstadt,Grüne,28.994082840236686,98
BTW21,990,Eberstadt,Grüne,14.65798045602606,45
BTW21,1000,Eberstadt,Grüne,21.119592875318066,83
BTW21,1010,Eberstadt,Grüne,23.323615160349853,80
BTW21,1020,Eberstadt,Grüne,15.050167224080269,45
BTW21,1030,Eberstadt,Grüne,13.333333333333334,42
BTW21,1040,Eberstadt,Grüne,20.91152815013405,78
BTW21,1050,Eberstadt,Grüne,23.076923076923077,75
BTW21,91010,,Grüne,38.173817381738175,347
BTW21,91011,,Grüne,38.25757575757576,303
BTW21,91012,,Grüne,38.013698630136986,333
BTW21,91013,,Grüne,37.45624270711785,321
BTW21,91014,,Grüne,39.38002296211251,343
BTW21,91015,,Grüne,37.12984054669704,326
BTW21,91016,,Grüne,33.8768115942029,187
BTW21,92020,,Grüne,37.84067085953878,361
BTW21,92021,,Grüne,44.48236632536974,391
BTW21,92022,,Grüne,37.89682539682539,382
BTW21,92023,,Grüne,41.826381059751974,371
BTW21,92024,,Grüne,41.05037513397642,383
BTW21,92025,,Grüne,45.57377049180328,417
BTW21,92026,,Grüne,29.957356076759062,281
BTW21,92027,,Grüne,44.04646660212972,455
BTW21,92028,,Grüne,41.62679425837321,348
BTW21,93030,,Grüne,37.52577319587629,364
BTW21,93031,,Grüne,25.465838509316768,164
BTW21,93032,,Grüne,34.86140724946695,327
BTW21,93033,,Grüne,33.77358490566038,179
BTW21,93034,,Grüne,32.701894317048854,328
BTW21,93035,,Grüne,37.006578947368425,225
BTW21,93036,,Grüne,29.750778816199375,191
BTW21,94040,,Grüne,33.28445747800586,227
BTW21,94041,,Grüne,29.958960328317374,219
BTW21,94042,,Grüne,34.41910966340934,317
BTW21,94043,,Grüne,38.30472103004292,357
BTW21,94044,,Grüne,38.84140550807217,409
BTW21,94045,,Grüne,41.05263157894737,273
