WAHLBEZIRK,Insgesamt_Bevoelkerung_x,Unter10,a10bis19,a20bis29,a30bis39,a40bis49,a50bis59,a60bis69,a70bis79,a80undaelter,1_Person,2_Personen,3_Personen,4_Personen,5_Personen,6_Personen_und_mehr,Anzahl_Auslaender,Anzahl_FlaechejeBew,Gesamtalter,AnzahlWohnungen,HHGroesse,Miete,Anzahl_Eigentuemer,Leerstand,Anteil_Auslaender,FlaechejeBew,Durchschnittsalter,Mean_HHGroesse,Durchschnittsmiete_qm,Anteil_Eigentuemer,Leerstandsquote,gebiet-nr,Insgesamt,SPD,CDU,Grüne,FDP,AfD,Linke,Anteil_SPD,Anteil_CDU,Anteil_Grüne,Anteil_FDP,Anteil_AfD,Anteil_Linke
10,1098,46.0,49.0,459.0,207.0,102.0,105.0,71.0,34.0,27.0,527.0,167.0,41.0,13.0,6.0,9.0,378.002,48919.39,38512.61,522.0,762.96,6184.4,34.857299999999995,16.6444,0.34426411657559197,44.553178506375225,35.07523679417122,1.461609195402299,11.847509578544061,0.06677643678160919,0.03188582375478927,10,447,51,58,117,29,28,103,0.11409395973154363,0.1297539149888143,0.26174496644295303,0.06487695749440715,0.06263982102908278,0.23042505592841164
20,1374,65.0,79.0,502.0,303.0,148.0,116.0,69.0,33.0,39.0,509.0,166.0,67.0,49.0,16.0,12.0,475.457,65852.9,48336.83,607.0,1052.74,6049.780000000001,31.918699999999998,9.3579,0.3460385735080058,47.92787481804949,35.179643377001454,1.734332784184514,9.96668863261944,0.05258434925864909,0.015416639209225702,20,358,52,43,93,16,30,87,0.1452513966480447,0.12011173184357542,0.25977653631284914,0.0446927374301676,0.08379888268156424,0.2430167597765363
30,1420,87.0,103.0,481.0,248.0,159.0,158.0,94.0,72.0,28.0,534.0,156.0,58.0,58.0,16.0,11.0,300.2284,56689.95,50216.17,524.0,917.35,5455.33,53.262299999999996,15.2166,0.21142845070422536,39.9225,35.3635,1.7506679389312978,10.410935114503816,0.1016456106870229,0.029039312977099236,30,324,39,39,98,14,26,76,0.12037037037037036,0.12037037037037036,0.30246913580246915,0.043209876543209874,0.08024691358024691,0.2345679012345679
40,1250,62.0,68.0,425.0,324.0,141.0,105.0,67.0,36.0,13.0,611.0,136.0,68.0,24.0,4.0,9.0,582.0047,50509.39,43262.23,610.0,965.51,8325.79,54.660000000000004,14.4729,0.46560376,40.407512,34.609784000000005,1.5828032786885247,13.648836065573771,0.08960655737704919,0.02372606557377049,40,371,59,65,100,18,43,63,0.15902964959568733,0.1752021563342318,0.2695417789757412,0.04851752021563342,0.11590296495956873,0.16981132075471697
50,1879,83.0,52.0,675.0,369.0,201.0,210.0,123.0,71.0,98.0,948.0,196.0,50.0,48.0,9.0,16.0,740.441,75242.23,71626.24,1150.0,1732.45,12504.16,68.88459999999999,49.306200000000004,0.3940612027674295,40.04376263970197,38.11934007450772,1.5064782608695653,10.873182608695652,0.059899652173913034,0.04287495652173914,50,407,76,38,68,18,52,123,0.18673218673218672,0.09336609336609336,0.16707616707616707,0.044226044226044224,0.12776412776412777,0.3022113022113022
60,2313,158.0,118.0,765.0,414.0,223.0,244.0,170.0,98.0,117.0,874.0,274.0,90.0,40.0,33.0,10.0,835.8415,92860.11,87033.51,1058.0,1694.55,10951.56,34.4871,30.695,0.36136683960224814,40.147042801556424,37.62797665369649,1.6016540642722117,10.351190926275992,0.03259650283553875,0.029012287334593573,60,522,69,55,119,22,77,127,0.13218390804597702,0.1053639846743295,0.22796934865900384,0.0421455938697318,0.1475095785440613,0.24329501915708812
90,1816,139.0,127.0,445.0,320.0,204.0,251.0,161.0,120.0,41.0,530.0,286.0,103.0,55.0,19.0,20.0,367.2232,89115.84,70264.76999999999,831.0,1503.46,8107.16,123.9401,21.1448,0.20221541850220265,49.072599118942726,38.692053964757704,1.8092178098676295,9.755908543922985,0.1491457280385078,0.025445006016847172,90,710,114,74,196,34,46,185,0.16056338028169015,0.10422535211267606,0.27605633802816903,0.04788732394366197,0.0647887323943662,0.2605633802816901
100,1485,156.0,129.0,311.0,271.0,189.0,196.0,128.0,97.0,37.0,338.0,181.0,99.0,74.0,18.0,6.0,209.0106,80208.53,56062.4,507.0,1034.88,4976.45,120.8532,8.3704,0.14074787878787878,54.012478114478114,37.75245791245791,2.0411834319526627,9.815483234714003,0.23836923076923078,0.016509664694280078,100,705,101,104,230,22,51,136,0.14326241134751774,0.1475177304964539,0.3262411347517731,0.031205673758865248,0.07234042553191489,0.19290780141843972
120,2259,332.0,240.0,463.0,429.0,262.0,216.0,153.0,68.0,54.0,406.0,161.0,85.0,53.0,12.0,19.0,1117.4380999999998,103686.15,75591.16,617.0,1185.31,5142.98,47.2333,12.0274,0.49466051350154927,45.89913678618858,33.46222222222222,1.9210858995137763,8.33546191247974,0.07655316045380875,0.019493354943273908,120,348,55,49,49,11,84,43,0.15804597701149425,0.14080459770114942,0.14080459770114942,0.031609195402298854,0.2413793103448276,0.1235632183908046
130,1607,111.0,113.0,421.0,261.0,169.0,217.0,154.0,104.0,53.0,413.0,322.0,81.0,60.0,13.0,3.0,251.9778,74441.48,62828.74,614.0,1123.32,5719.43,124.5383,20.477,0.15680012445550714,46.32326073428749,39.09691350342253,1.8295114006514657,9.315032573289903,0.20283110749185668,0.03335016286644951,130,702,108,77,240,19,37,172,0.15384615384615385,0.10968660968660969,0.3418803418803419,0.027065527065527065,0.05270655270655271,0.245014245014245
